Source,Target,Weight,Dinero_Total_Millones
1. FC Köln,Amiens SC,1,6.0
1. FC Köln,Hertha BSC,1,15.0
1. FC Köln,Monaco,1,6.5
1. FC Köln,Nacional,1,0.01
1. FC Köln,Saint-Étienne,1,0.01
1. FC Köln,Twente FC,1,0.01
1. FC Köln,VfL Wolfsburg,1,13.5
1. FC Köln,Vit. Guimarães,1,0.01
1. FC Köln,Willem II,1,0.01
1.FSV Mainz 05,1. FC Köln,2,17.25
1.FSV Mainz 05,Arm. Bielefeld,1,0.01
1.FSV Mainz 05,Bor. Dortmund,1,28.0
1.FSV Mainz 05,Celta de Vigo,1,0.01
1.FSV Mainz 05,Crystal Palace,2,14.5
1.FSV Mainz 05,Everton,1,25.0
1.FSV Mainz 05,FC Schalke 04,1,11.0
1.FSV Mainz 05,FC Utrecht,1,0.01
1.FSV Mainz 05,Fortuna Sittard,1,0.01
1.FSV Mainz 05,Huddersfield,2,2.51
1.FSV Mainz 05,Newcastle,1,10.7
1.FSV Mainz 05,SC Freiburg,3,2.51
1.FSV Mainz 05,SC Paderborn,2,0.02
1.FSV Mainz 05,SD Eibar,1,2.0
1.FSV Mainz 05,Sparta R.,1,0.01
1.FSV Mainz 05,Stade Brestois,1,0.01
1.FSV Mainz 05,Twente FC,1,0.01
1.FSV Mainz 05,UD Las Palmas,1,0.35
1.FSV Mainz 05,Union Berlin,1,2.0
1.FSV Mainz 05,VfB Stuttgart,1,5.0
1.FSV Mainz 05,VfL Wolfsburg,1,10.0
A. Malagueño,Famalicão,1,0.5
AC Milan,Alavés,1,2.8
AC Milan,Aston Villa,1,0.4
AC Milan,Atalanta BC,3,4.08
AC Milan,Atlético Madrid,1,14.5
AC Milan,Cagliari Calcio,1,0.01
AC Milan,E. Frankfurt,3,5.01
AC Milan,FC Crotone,3,0.32
AC Milan,Frosinone,1,0.01
AC Milan,G. Bordeaux,1,0.01
AC Milan,Genoa,3,11.26
AC Milan,Heerenveen,1,0.01
AC Milan,Hellas Verona,1,0.01
AC Milan,Hertha BSC,1,24.0
AC Milan,Juventus,2,47.0
AC Milan,Olympique Lyon,1,20.0
AC Milan,PSV Eindhoven,1,0.25
AC Milan,Parma,1,0.01
AC Milan,Sassuolo,2,14.01
AC Milan,Sevilla FC,3,25.78
AC Milan,Spezia Calcio,1,0.01
AC Milan,Torino,5,16.46
AC Milan,Venezia,1,0.01
AC Milan,Villarreal,2,9.5
AC Milan,Wolves,1,18.0
ADO,VVV-Venlo,1,0.01
ADO Den Haag,AZ Alkmaar,1,2.3
ADO Den Haag,FC Emmen,1,0.01
ADO Den Haag,Sparta R.,1,0.01
ADO Den Haag,Willem II,2,0.02
