Id,Club,Liga
1. FC Köln,1. FC Köln,1 Bundesliga
1.FSV Mainz 05,1.FSV Mainz 05,1 Bundesliga
A. Malagueño,A. Malagueño,Otra / Desconocida
AC Milan,AC Milan,Serie A
ADO,ADO,Otra / Desconocida
ADO Den Haag,ADO Den Haag,Eredivisie
AFE,AFE,Otra / Desconocida
APC,APC,Otra / Desconocida
AS Bamako,AS Bamako,Otra / Desconocida
AS Roma,AS Roma,Serie A
AS Vita Club,AS Vita Club,Otra / Desconocida
ASEC Mimosas,ASEC Mimosas,Otra / Desconocida
ATK,ATK,Otra / Desconocida
AZ Alkmaar,AZ Alkmaar,Eredivisie
Africa Sports,Africa Sports,Otra / Desconocida
Ajax,Ajax,Eredivisie
Al-Duhail SC,Al-Duhail SC,Otra / Desconocida
Al-Nasr,Al-Nasr,Otra / Desconocida
Alavés,Alavés,Primera Division
Ambrosiana,Ambrosiana,Otra / Desconocida
Amiens SC,Amiens SC,Ligue 1
Anderlecht,Anderlecht,Otra / Desconocida
Angers SCO,Angers SCO,Ligue 1
Argentinos,Argentinos,Otra / Desconocida
Arm. Bielefeld,Arm. Bielefeld,1 Bundesliga
Arsenal,Arsenal,Premier League
Asia,Asia,Otra / Desconocida
Aston Villa,Aston Villa,Premier League
Atalanta BC,Atalanta BC,Serie A
Athletic,Athletic,Primera Division
Atlético Madrid,Atlético Madrid,Primera Division
Barcelona,Barcelona,Primera Division
Barra FC,Barra FC,Otra / Desconocida
Barra FC (SC),Barra FC (SC),Otra / Desconocida
Barça,Barça,Otra / Desconocida
Bay. Leverkusen,Bay. Leverkusen,1 Bundesliga
Bayern Munich,Bayern Munich,1 Bundesliga
Belenenses,Belenenses,Liga Nos
Belgium,Belgium,Otra / Desconocida
Benevento,Benevento,Serie A
Benfica,Benfica,Liga Nos
Benfica U19,Benfica U19,Otra / Desconocida
Berço,Berço,Otra / Desconocida
Bielefeld,Bielefeld,Otra / Desconocida
Boavista,Boavista,Liga Nos
Bologna,Bologna,Serie A
Bor. Dortmund,Bor. Dortmund,1 Bundesliga
Bor. M'gladbach,Bor. M'gladbach,1 Bundesliga
Boro,Boro,Otra / Desconocida
Bournemouth,Bournemouth,Premier League
Bouzas,Bouzas,Otra / Desconocida
Braga,Braga,Otra / Desconocida
Brescia,Brescia,Serie A
Brighton,Brighton,Premier League
Burnley,Burnley,Premier League
CA Osasuna,CA Osasuna,Primera Division
CD Leganés,CD Leganés,Primera Division
Cagliari Calcio,Cagliari Calcio,Serie A
Celta de Vigo,Celta de Vigo,Primera Division
Central_EU,Central_EU,Otra / Desconocida
Chaves,Chaves,Liga Nos
Chelsea,Chelsea,Premier League
Chievo Verona,Chievo Verona,Serie A
Ciliverghe,Ciliverghe,Otra / Desconocida
Club NXT,Club NXT,Otra / Desconocida
Cova Piedade,Cova Piedade,Otra / Desconocida
Crystal Palace,Crystal Palace,Premier League
Cukaricki,Cukaricki,Otra / Desconocida
Cádiz CF,Cádiz CF,Primera Division
DL Pro,DL Pro,Otra / Desconocida
Dep. La Coruña,Dep. La Coruña,Primera Division
Derby Acad.,Derby Acad.,Otra / Desconocida
Desportivo Aves,Desportivo Aves,Liga Nos
Diables Noirs,Diables Noirs,Otra / Desconocida
Diambars FC,Diambars FC,Otra / Desconocida
Dibba Al-Hisn,Dibba Al-Hisn,Otra / Desconocida
Dijon,Dijon,Ligue 1
Din. Zagreb,Din. Zagreb,Otra / Desconocida
Due Torri,Due Torri,Otra / Desconocida
E. Frankfurt,E. Frankfurt,1 Bundesliga
Elche CF,Elche CF,Primera Division
Empoli,Empoli,Serie A
Espanyol,Espanyol,Primera Division
Est_EU,Est_EU,Otra / Desconocida
Estoril Praia,Estoril Praia,Liga Nos
Everton,Everton,Premier League
Excelsior,Excelsior,Eredivisie
F. Düsseldorf,F. Düsseldorf,1 Bundesliga
FC Augsburg,FC Augsburg,1 Bundesliga
FC Emmen,FC Emmen,Eredivisie
FC Empoli,FC Empoli,Serie A
FC Groningen,FC Groningen,Eredivisie
FC Lorient,FC Lorient,Ligue 1
FC Metz,FC Metz,Ligue 1
FC Nantes,FC Nantes,Ligue 1
FC Porto,FC Porto,Liga Nos
FC Schalke 04,FC Schalke 04,1 Bundesliga
FC São Paulo,FC São Paulo,Otra / Desconocida
FC Utrecht,FC Utrecht,Eredivisie
FC Villarreal C,FC Villarreal C,Otra / Desconocida
Famalicão,Famalicão,Liga Nos
Feirense,Feirense,Liga Nos
Feirense Sub-23,Feirense Sub-23,Otra / Desconocida
Feyenoord,Feyenoord,Eredivisie
Fiorentina,Fiorentina,Serie A
Fortuna Sittard,Fortuna Sittard,Eredivisie
France,France,Otra / Desconocida
Fulham,Fulham,Premier League
Fútbol Cons.,Fútbol Cons.,Otra / Desconocida
G. Bordeaux,G. Bordeaux,Ligue 1
GZ Evergrande,GZ Evergrande,Otra / Desconocida
GZ Hengfeng,GZ Hengfeng,Otra / Desconocida
Genoa,Genoa,Serie A
Germany,Germany,Otra / Desconocida
Getafe,Getafe,Primera Division
Gil Vicente,Gil Vicente,Liga Nos
Girona,Girona,Primera Division
Go Ahead Eagles,Go Ahead Eagles,Eredivisie
Granada CF,Granada CF,Primera Division
Greuther Fürth,Greuther Fürth,1 Bundesliga
Groningen U21,Groningen U21,Otra / Desconocida
Guingamp,Guingamp,Ligue 1
Génération Foot,Génération Foot,Otra / Desconocida
HB CFFC,HB CFFC,Otra / Desconocida
Hamburger SV,Hamburger SV,1 Bundesliga
Hannover 96,Hannover 96,1 Bundesliga
Hanoi FC,Hanoi FC,Otra / Desconocida
Heerenveen,Heerenveen,Eredivisie
Hellas Verona,Hellas Verona,Serie A
Helsingborg,Helsingborg,Otra / Desconocida
Heracles Almelo,Heracles Almelo,Eredivisie
Hertha BSC,Hertha BSC,1 Bundesliga
Huddersfield,Huddersfield,Premier League
Inter,Inter,Serie A
Inter de Lages,Inter de Lages,Otra / Desconocida
Italy,Italy,Otra / Desconocida
JMG Abidjan,JMG Abidjan,Otra / Desconocida
JS Suning,JS Suning,Otra / Desconocida
Jeanne d'Arc FC,Jeanne d'Arc FC,Otra / Desconocida
Juventus,Juventus,Serie A
KRC Genk U18,KRC Genk U18,Otra / Desconocida
Kelme U19,Kelme U19,Otra / Desconocida
LOSC Lille,LOSC Lille,Ligue 1
Lanusei,Lanusei,Otra / Desconocida
Lazio,Lazio,Serie A
Leeds,Leeds,Premier League
Leicester,Leicester,Premier League
Lens,Lens,Ligue 1
Levante,Levante,Primera Division
Linense-SP,Linense-SP,Otra / Desconocida
Liverpool FC,Liverpool FC,Premier League
Loko Tashkent,Loko Tashkent,Otra / Desconocida
Louletano,Louletano,Otra / Desconocida
Man City,Man City,Premier League
Man Utd,Man Utd,Premier League
Manama Club,Manama Club,Otra / Desconocida
Marseille,Marseille,Ligue 1
Marítimo,Marítimo,Liga Nos
Monaco,Monaco,Ligue 1
Monopoli,Monopoli,Otra / Desconocida
Montpellier,Montpellier,Ligue 1
Moreirense,Moreirense,Otra / Desconocida
Musgueira,Musgueira,Otra / Desconocida
Málaga CF,Málaga CF,Primera Division
NAC Breda,NAC Breda,Eredivisie
Nacional,Nacional,Liga Nos
Netherlands,Netherlands,Otra / Desconocida
Newcastle,Newcastle,Premier League
